component,C11,C22,C33,C23,C13,C12
C11,6.152883816327e-02,4.899116210032e-02,4.893393547302e-02,6.601619047619e-07,-6.877826190476e-07,2.128695238095e-07
C22,4.891104521333e-02,6.155826156735e-02,4.893381381778e-02,9.415716666667e-07,4.758940476190e-07,2.019539285714e-06
C33,4.888018679556e-02,4.897352544190e-02,6.151524062313e-02,7.082004761905e-07,-2.963719047619e-07,6.569871428571e-07
C23,1.105822857143e-06,1.679750238095e-06,7.632230952381e-07,3.846383159048e-02,4.196171428571e-07,-6.550594047619e-07
C13,6.375095238095e-08,-2.104921428571e-07,1.708761190476e-06,8.692505952381e-07,3.844429503571e-02,-1.348892857143e-08
C12,-5.990850000000e-07,3.698557380952e-06,2.936359285714e-06,-3.213894047619e-07,6.514233333333e-07,3.845547401429e-02
