component,C11,C22,C33,C23,C13,C12
C11,0.0828272821,0.028264132,0.0282311166,6.60161905e-07,-6.87782619e-07,2.12869524e-07
C22,0.0282179107,0.0828668906,0.0282310464,9.41571667e-07,4.75894048e-07,2.01953929e-06
C33,0.0282001078,0.028253957,0.0828089778,7.08200476e-07,-2.96371905e-07,6.56987143e-07
C23,1.10582286e-06,1.67975024e-06,7.63223095e-07,0.0147937814,4.19617143e-07,-6.55059405e-07
C13,6.37509524e-08,-2.10492143e-07,1.70876119e-06,8.69250595e-07,0.0147862673,-1.34889286e-08
C12,-5.99085e-07,3.69855738e-06,2.93635929e-06,-3.21389405e-07,6.51423333e-07,0.0147905669
